,ESP01,ESP01,ESP01,ESP01,ESP01,ESP01,ESP02,ESP02,ESP02,ESP02,ESP02,ESP02,ESP03,ESP03,ESP03,ESP03,ESP03,ESP03
time,DHDISCHARGEPRESSURE,DHINTAKEPRESSURE,DHINTAKETEMP,DHMOTORTEMP,VSDFREQOUT,VSDMOTAMPS,DHDISCHARGEPRESSURE,DHINTAKEPRESSURE,DHINTAKETEMP,DHMOTORTEMP,VSDFREQOUT,VSDMOTAMPS,DHDISCHARGEPRESSURE,DHINTAKEPRESSURE,DHINTAKETEMP,DHMOTORTEMP,VSDFREQOUT,VSDMOTAMPS
s,psia,psia,K,K,Hz,A,psia,psia,K,K,Hz,A,psia,psia,K,K,Hz,A
1370044800,4819440.062,4645092.555,382.8436706,383.0596235,0,2,13935372.4,4230328.642,358.828813,375.6540512,45.01385132,191.3370908,5872264.787,5487537.33,346.35,351.65,0,0
1370045100,4869044.81,4630605.41,382.8270592,382.9445269,0,2,13064140.62,4141697.565,359.4253646,379.0754459,43.99295035,195.107323,5872264.787,5487537.33,346.35,351.65,0,0
1370045400,4824754.919,4684340.8,382.8626879,382.9402203,0,2,14110557.56,4430323.167,357.2496335,374.2655201,44.16140698,189.5892357,5872264.787,5487537.33,346.35,351.65,0,0
1370045700,4849769.046,4697244.12,382.862196,382.9384828,0,2,12781664.74,3917750.211,359.2356498,378.5094705,45.02241074,199.5982215,5872264.787,5487537.33,346.35,351.65,0,0
1370046000,4838199.888,4705090.494,382.855058,382.9485043,0,2,15252131.42,4355878.258,356.3494983,373.59845,44.04228406,209.9629697,5872264.787,5487537.33,346.35,351.65,0,0
1370046300,4874408.563,4669871.883,382.8602124,382.9429073,0,2,13265647.71,3927390.758,358.2028666,375.2891046,44.01957626,195.5540406,5872264.787,5487537.33,346.35,351.65,0,0
1370046600,4881519.006,4719413.687,382.8373211,383.0652267,0,2,13354581.73,4021439.193,356.7532733,374.0088882,44.96789158,198.5790972,5872264.787,5487537.33,346.35,351.65,0,0
1370046900,4882975.358,4734971.022,382.8473477,382.9573156,0,2,12820805.24,4391322.37,357.6601331,375.5044508,45.01236471,202.962082,5872264.787,5487537.33,346.35,351.65,0,0
1370047200,4920824.82,4713528.525,382.8364612,382.9488394,0,2,12916671.85,4193765.433,357.797535,375.9710373,43.87836996,199.9560819,5872264.787,5487537.33,346.35,351.65,0,0
1370047500,4901630.492,4740635.653,382.8488503,383.0369246,0,2,14485507.2,4348984.906,358.8850654,379.0349119,45.22189222,205.88019,5872264.787,5487537.33,346.35,351.65,46.41435621,94.93697826
1370047800,4873154.819,4715428.172,382.8591725,382.9416722,0,2,12881988.94,4099843.641,358.9779449,378.5537029,45.12071369,205.0244558,5872264.787,5487537.33,346.35,351.65,48.52343417,105.9977619
1370048100,4893390.571,4721426.526,382.867752,383.0599564,0,2,12765945.49,4309535.709,358.7054066,377.5425966,43.96431582,205.7460382,5872264.787,5487537.33,346.35,351.65,49.85407065,111.4877587
